pin,slack
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_data_fifo_async/wrGrayCounter/cntGray[2]:ALn,
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_data_fifo_async/wrGrayCounter/cntGray[2]:CLK,12737
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_data_fifo_async/wrGrayCounter/cntGray[2]:D,11626
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_data_fifo_async/wrGrayCounter/cntGray[2]:EN,3587
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_data_fifo_async/wrGrayCounter/cntGray[2]:Q,12737
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/fastsdram/un4_w_valid_i:A,9299
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/fastsdram/un4_w_valid_i:B,9347
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/fastsdram/un4_w_valid_i:Y,9299
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_fifo_data_in[5]:A,9213
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_fifo_data_in[5]:B,9151
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_fifo_data_in[5]:C,7265
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_fifo_data_in[5]:D,8580
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_fifo_data_in[5]:Y,7265
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rx_data_fifo_async/CDC_rdCtrl_inst/m259_d:A,6769
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rx_data_fifo_async/CDC_rdCtrl_inst/m259_d:B,6847
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rx_data_fifo_async/CDC_rdCtrl_inst/m259_d:C,3708
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rx_data_fifo_async/CDC_rdCtrl_inst/m259_d:D,4769
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rx_data_fifo_async/CDC_rdCtrl_inst/m259_d:Y,3708
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rx_data_fifo_async/wrGrayCounter/m116:A,11716
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rx_data_fifo_async/wrGrayCounter/m116:B,11653
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rx_data_fifo_async/wrGrayCounter/m116:Y,11653
SID_PLAYER_sb_0/SID_PLAYER_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_262:IPA,
SID_PLAYER_sb_0/SID_PLAYER_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_262:IPB,
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/tx_fifo_data_in_4[20]:A,6912
